ICO_Name_ib,Status(donghwa),Etherscan Address,ICO_Name_rt,ico_address,no_tl,Success (Y/N),Platform_ib,Type_ib,ICO start_ib,ICO end_ib,ICO_start_rt,ICO_end_rt,DistributorAddress,Single Layer,Double Layer
Staramba,DistributorsHardtoIdentify,0x0bbb5a54767166b21e4a74d30500248a05ed985f,Staramba,https://icobench.com/ico/staramba,4698,Y,Ethereum,ERC20,,,2018-06-20,2018-10-31,,0.0,0.0
Starflow,NoMatch,,Starflow,https://icobench.com/ico/starflow,4699,N,Ethereum,ERC20,2018-07-04,2018-11-30,,,,0.0,0.0
StarLightCoin,NonERC20,,StarLight,https://icobench.com/ico/starlightcoin,4700,N,Scrypt,Pow/Pos Hybrid Blockchain,,2018-04-17,,,,0.0,0.0
Startions,NoTokenTransfer,0xb05c0358ff5cd130ac6316ee649fbdbfe39a235f,Startions,https://icobench.com/ico/startions,4701,N,Ethereum,ERC20,2018-03-16,2018-04-11,2018-02-28,2018-03-28,,0.0,0.0
Stash,transfer after ending,0xecd570bbf74761b960fa04cc10fe2c4e86ffda36,STASH,https://icobench.com/ico/stash,4702,N,Ethereum,ERC20,2017-10-22,2017-11-19,2017-10-22,2017-12-05,,0.0,0.0
StasyQ,OK,0xf300cc72613d575a4567405c2a07d2aaf182aebf,StasyQ,https://icobench.com/ico/stasyq,4703,N,Ethereum,ERC20,2018-04-06,2018-06-05,2018-04-06,2018-06-05,0xfcedce553f6032462740f4e116a81ffe7f92d2b9,0.0,0.0
STAY,NoMatch,,,https://icobench.com/ico/stay,4704,N,Ethereum,ERC20,2018-06-01,2018-07-30,,,,0.0,0.0
Stealth Project,OK,0xdbfb606363be0032c69f373eaa2d84820edb167d,STEALTH PROJECT,https://icobench.com/ico/stealth-project,4707,N,Ethereum,ERC20,2018-06-13,2018-09-01,2018-06-13,2018-09-01,0x41370e8b0d3a7bccab3779e0100c3c1b8a5e7a14,0.0,0.0
Stellargoldcoin,DistributorsHardtoIdentify,0x400a125eb01b59e01612382014ad64ad83dc25a5,Stellargoldcoin,https://icobench.com/ico/stellargoldcoin,4708,Y,Ethereum,ERC20,2018-06-15,2018-11-15,2018-06-15,2018-10-05,,0.0,0.0
STeX,OK,0x9d44ee57aa574436b5e0a37994a801d22a638761,STeX,https://icobench.com/ico/stex-1,4709,N,Ethereum,ERC20,2018-05-01,2018-06-30,,,0x9d44ee57aa574436b5e0a37994a801d22a638761,0.0,0.0
Stocks.Bet,NoTokenTransfer,0x2611eb890ec83242ed0879a3e4e5b131a184f8da,Stocks.Bet,https://icobench.com/ico/stocks-bet,4711,N,Ethereum,ERC20,,2018-06-30,,,,0.0,0.0
StopTheFakes,OK,0x64be6b77cc723e5518687a04b4e62824e89fd8bb,StopTheFakes,https://icobench.com/ico/stopthefakes,4712,N,Ethereum,ERC20,2018-03-21,2018-04-21,2018-03-21,2018-04-21,0x0d23e5bcef273d2c98a8b8ef3bfa11b22e6726db,0.0,0.0
STOW IT Token,NoTokenTransfer,0xda89d2ef799d5a3bde93d7107a30ad7c98d81f4a,,https://icobench.com/ico/stow-it-token,4713,N,Ethereum,ERC20,2018-04-01,2018-04-30,,,,0.0,0.0
Stream41,NoMatch,,Stream41,https://icobench.com/ico/stream41,4715,N,Ethereum,ERC20,,2018-10-22,2018-05-22,2018-10-22,,0.0,0.0
Streamity,transfer after ending,0x0e22734e078d6e399bcee40a549db591c4ea46cb,Streamity,https://icobench.com/ico/streamity,4716,Y,Ethereum,ERC20,2018-06-25,2018-08-06,2018-06-25,2018-08-06,,0.0,0.0
STRYKZ,NoTokenTransfer,0x2ac0e54ec9a665460b008ebc2fefd8717093d7a4,STRYKZ,https://icobench.com/ico/strykz,4719,N,Ethereum,ERC20,2018-06-29,2018-07-29,2018-06-29,2018-07-29,,0.0,0.0
Subaj Global Network,transfer after ending,0x5e55a1705ed1313629bb2cc842019c8deb2f643b,SUBAJ,https://icobench.com/ico/subaj-global-network,4720,Y,Ethereum,ERC20,2018-08-02,2018-10-31,,,,0.0,0.0
Successlife,NonERC20,,SuccessLife Token,https://icobench.com/ico/successlife,4721,Y,,Multichain,,2018-05-31,,,,0.0,0.0
SunMoney,DistributorsHardtoIdentify,0xc761c8dc05ae52a8a785665e528ddbb00c098ad1,SunMoney,https://icobench.com/ico/sunmoney,4722,Y,Ethereum,ERC20,2018-03-15,2018-04-30,2018-03-14,2018-04-15,,0.0,0.0
Sunxcoin,DistributorsHardtoIdentify,0xbf2f1e0e41f1e144bb1d5870e94324b9878dd95b,Sunx,https://icobench.com/ico/sunxcoin,4723,Y,Ethereum,ERC20,2018-07-20,2018-08-31,,,,0.0,0.0
SuperPay.vip,NoTokenTransfer,0x49b3b93b7a1afb52140e3b9a44b4a3dd1551a16f,SuperPay,https://icobench.com/ico/superpay-vip,4724,N,,ERC20,2017-12-15,2018-05-31,,,,0.0,0.0
SURETY.AI,transfer after ending,0x95382ac82e886a367bac9e1e23beabe569bcfed8,SURETY.AI,https://icobench.com/ico/surety-ai,4727,N,Ethereum,ERC20,,2018-07-31,,,,0.0,0.0
SurruS,NoTokenTransfer,0xb9cbc9b054d439842d823e031c1c9a04d083d592,SurruS,https://icobench.com/ico/surrus,4728,N,Ethereum,ERC20,,2018-08-01,2018-06-01,2018-08-01,,0.0,0.0
Surveychain,NoTokenTransfer,0x0c1ae9718f894d20934ece3f57c0e8a0c16bf958,Surveychain,https://icobench.com/ico/surveychain,4729,N,Ethereum,ERC20,2018-05-11,2018-06-08,2018-05-11,2018-06-07,,0.0,0.0
Swachhcoin,DistributorsHardtoIdentify,0x75189bb6accb9732079e768a6202dc2dd84b63d2,Swachhcoin,https://icobench.com/ico/swachhcoin,4732,Y,Ethereum,ERC20,2018-08-15,2018-10-29,2018-08-15,2018-09-18,,0.0,0.0
Swapy Network,NoMatch,,Swapy,https://icobench.com/ico/swapy-network,4733,N,Ethereum,ERC20,2018-04-26,2018-05-26,,,,0.0,0.0
Swiss Alps Mining,NoMatch,,Swiss Alps Mining & Energy,https://icobench.com/ico/swiss-alps-mining,4735,Y,Ethereum,ERC20,,2018-10-29,,,,0.0,0.0
Switcoin,NoMatch,,Switcoin,https://icobench.com/ico/switcoin,4737,N,Ethereum,ERC20,2018-06-30,2018-08-11,2018-06-30,2018-08-11,,0.0,0.0
Sword Coin,NoMatch,,Sword Coin,https://icobench.com/ico/sword-coin,4738,Y,Ethereum,ERC20,2018-06-01,2018-08-15,,,,0.0,0.0
SWX Coin,NoMatch,,,https://icobench.com/ico/swx-coin,4739,N,Ethereum,ERC20,2018-03-19,2018-04-30,,,,0.0,0.0
Synapse,NoTokenTransfer,0x386c599aa604a455d84ca03ebde67a30fe539d18,Synapse,https://icobench.com/ico/synapse,4741,N,Ethereum,ERC20,2017-10-21,2018-06-14,2018-02-04,2018-03-02,,0.0,0.0
Synco,transfer after ending,0x2dfd9060bcb9146c2a02e00a776dcaeeae3cff44,SyncoChain,https://icobench.com/ico/synco,4742,Y,Ethereum,ERC20,2018-07-30,2018-08-19,,,,0.0,0.0
Synexcoin,transfer after ending,0x46d19b2d282494c0b6f95db564f17cee7f799312,Synexcoin,https://icobench.com/ico/synexcoin,4743,N,Ethereum,ERC20,2018-04-01,2018-06-01,2018-04-01,2018-04-14,,0.0,0.0
Syntera,transfer after ending,0xaadabcd1e95b31564ca873cf8ec992acb5ce6a2d,Syntera,https://icobench.com/ico/syntera,4744,N,Ethereum,ERC20,2018-04-01,2018-05-30,,,,0.0,0.0
Synth,NoMatch,,Synth,https://icobench.com/ico/synth,4745,Y,Ethereum,,,2018-06-11,2018-05-11,2018-06-11,,0.0,0.0
Synthestech,transfer after ending,0x3e9ba4be6affa324f188b10962317239e32ce7ad,Synthestech,https://icobench.com/ico/synthestech,4746,N,Ethereum,,2018-02-01,2018-05-31,2018-02-26,2018-04-26,,0.0,0.0
Tag World Exchange,NoMatch,,Tag World Exchange,https://icobench.com/ico/tag-world-exchange,4748,N,Ethereum,ERC20,,2018-08-14,,,,0.0,0.0
Talao,OK,0x1d4ccc31dab6ea20f461d329a0562c1c58412515,Talao,https://icobench.com/ico/talao,4749,Y,Ethereum,ERC20,2018-07-04,2018-07-29,2018-07-02,2018-07-29,0x0000000000000000000000000000000000000000,0.0,0.0
Talenter,NoMatch,,Talenter,https://icobench.com/ico/talenter,4750,N,Ethereum,ERC20,2018-02-15,2018-04-06,2018-02-15,2018-04-06,,0.0,0.0
TalentSnap (PreICO),NoMatch,,TalentSnap,https://icobench.com/ico/talentsnap,4753,N,Ethereum,ERC20,2018-10-01,2018-11-30,,,,0.0,0.0
Taurus0X,DistributorsHardtoIdentify,0x5912b2524c40986156248a6108e8d302e9df051d,Taurus0x,https://icobench.com/ico/taurus,4754,N,Ethereum,ERC20,2018-06-21,2018-09-06,2018-07-07,2018-09-06,,0.0,0.0
Tavitt,transfer after ending,0xdd690d8824c00c84d64606ffb12640e932c1af56,Tavitt,https://icobench.com/ico/tavitt,4755,N,Ethereum,ERC20,2018-03-01,2018-04-30,,,,0.0,0.0
TaxiCash,NoMatch,,TaxiCash,https://icobench.com/ico/taxicash,4757,N,Ethereum,ERC20,2018-05-21,2018-07-16,,,,0.0,0.0
Teledactyl,NonERC20,,Teledactyl,https://icobench.com/ico/teledactyl,4760,N,Waves,Waves,2018-08-11,2018-09-18,2018-08-11,2018-09-18,,0.0,0.0
Telluria,OK,0xf44d4c05c1e27fcfebf108ffc2e64de6384f9e1f,Telluria,https://icobench.com/ico/telluria,4761,N,Ethereum,ERC20,2018-05-07,2018-07-02,2018-05-07,2018-07-02,0xef27444141b13c9a9e4f0505de0c0e749f2b84fd,0.0,0.0
Tempow (PreICO),NoMatch,,Tempow,https://icobench.com/ico/tempow,4762,Y,Ethereum,ERC20,2018-09-01,2018-11-04,,,,0.0,0.0
Tesoro,NoMatch,0xe4e24a220ac5059cf74b3ac66337df983e62e68b,Tesoro,https://icobench.com/ico/tesoro,4768,Y,Ethereum,ERC20,,2018-05-20,2018-04-22,2018-05-22,,0.0,0.0
TGIC,NoMatch,,,https://icobench.com/ico/tgic,4769,N,Ethereum,ERC20,,2018-08-01,,,,0.0,0.0
Thai Club Coin,NonERC20,,Thai Club Coin,https://icobench.com/ico/thai-club-coin,4770,Y,Scrypt,,,2018-04-20,,,,0.0,0.0
The 4th Pillar (PreICO),NoMatch,0x4730fb1463a6f1f44aeb45f6c5c422427f37f4d0,4THPillar,https://icobench.com/ico/the-4th-pillar,4771,N,Ethereum,ERC20,2018-10-15,2018-10-31,,,,0.0,0.0
The Deal Coin,transfer after ending,0x8458d484572ceb89ce70eebbe17dc84707b241ed,The Deal Coin,https://icobench.com/ico/the-deal-coin,4773,Y,Ethereum,ERC827,2018-03-26,2018-07-27,2018-04-16,2018-07-27,,0.0,0.0
The Digital Reserve,NonERC20,,The Digital Reserve,https://icobench.com/ico/the-digital-reserve,4774,N,DPA,DPA,,2018-08-20,,,,0.0,0.0
The Freedom Coin,NonERC20,,The Freedom Coin,https://icobench.com/ico/the-freedom-coin,4775,N,X11,X11,2018-06-01,2018-06-30,,,,0.0,0.0
The GlobeToken Project,NonERC20,,,https://icobench.com/ico/the-globetoken-project,4776,N,Stellar,Stellar,2018-05-21,2018-08-05,,,,0.0,0.0
The Island,NoMatch,,,https://icobench.com/ico/the-island,4777,N,Ethereum,ERC20,2017-08-28,2017-09-25,,,,0.0,0.0
The Main Global Bank,NoMatch,,,https://icobench.com/ico/the-main-global-bank,4778,N,Ethereum,ERC20,,2018-04-20,,,,0.0,0.0
The Rentals Token (PreICO),NoMatch,,The Rentals Token,https://icobench.com/ico/the-rentals-token,4779,N,Ethereum,ERC20,2018-09-17,2018-11-30,,,,0.0,0.0
The UXM,OK,0xd6513c922d9be2e26992d1fcd544e9bdd9d7b8e6,The UXM,https://icobench.com/ico/the-uxm,4780,Y,Ethereum,ERC20,2018-05-28,2018-11-15,2018-05-28,2018-09-03,,0.0,0.0
THEFANDOME,NoMatch,,THEFANDOME,https://icobench.com/ico/thefandome,4781,N,Ethereum,ERC20,2018-04-15,2018-08-31,,,,0.0,0.0
Thought,NonERC20,,Thought Network,https://icobench.com/ico/thought,4783,Y,Proprietary,,2018-03-01,2018-04-30,,,,0.0,0.0
Thrill,NoTokenTransfer,0x9b4dcce94969577e37d3ad1b35dd32f89ed2fe91,,https://icobench.com/ico/thrill,4784,N,Ethereum,ERC20,2018-09-15,2018-10-15,,,,0.0,0.0
Thrive,transfer after ending,0x4f27053f32eda8af84956437bc00e5ffa7003287,Thrive,https://icobench.com/ico/thrive,4785,Y,Ethereum,ERC20,2018-03-10,2018-04-05,2018-02-15,2018-04-05,,0.0,0.0
Ticko,NoMatch,,Ticko,https://icobench.com/ico/ticko,4787,Y,Ethereum,ERC20,2018-04-25,2018-07-20,2018-06-10,2018-07-20,,0.0,0.0
Tiger Token,NoMatch,,TigerBEC,https://icobench.com/ico/tiger-token,4788,N,Ethereum,ERC20,,2018-04-01,,,,0.0,0.0
TILX,NoTokenTransfer,0x42597ff26cbba6c327dcc9bcd1c62d7bbd8e51ac,Tilx Coin,https://icobench.com/ico/tilx,4789,N,Ethereum,ERC20,2018-03-15,2018-05-16,,,,0.0,0.0
Time Money (PreICO),NoMatch,0x66d544b100966f99a72734c7eb471fb9556badfd,Time Money,https://icobench.com/ico/time-money,4790,N,Ethereum,ERC20,2018-09-01,2018-11-30,,,,0.0,0.0
TimeBox,transfer after ending,0x6158e3f89b4398f5fb20d20dbfc5a5c955f0f6dd,Timebox,https://icobench.com/ico/timebox,4791,N,Ethereum,ERC20,2018-03-10,2018-08-15,2018-03-10,2018-08-15,,0.0,0.0
Tip Blockchain,NoMatch,,Tip Blockchain,https://icobench.com/ico/tip-blockchain,4792,N,Ethereum,ERC20,2018-07-13,2018-08-17,2018-07-13,2018-08-17,,0.0,0.0
TIpbot (PreICO),NoMatch,0x153e140548c6bfca761b6a4a45730bd1401c74d2,,https://icobench.com/ico/tipbot,4793,N,Ethereum,ERC20,2018-09-07,2018-09-07,,,,0.0,0.0
Tipper,transfer after ending,0xed3e73c01028eab954784aa5aedc97cbe2807dbb,Tipper,https://icobench.com/ico/tipper,4794,N,Ethereum,ERC20,2018-02-01,2018-03-31,2018-02-01,2018-03-31,,0.0,0.0
TITA Project (PreICO),NoMatch,,TITA Project,https://icobench.com/ico/tita-project,4795,N,Ethereum,ERC20,2018-10-30,2018-11-30,,,,0.0,0.0
Tixguru,transfer after ending,0x1acf991d7ced97b558c7a87f4bd7afd75e15fcb7,Tixguru,https://icobench.com/ico/tixguru,4796,Y,Ethereum,ERC20,2018-07-01,2018-10-30,2018-07-01,2018-10-30,,0.0,0.0
TLPAC,OK,0x620bd252316aa71fc3f898e1d959fe5dd8d66110,TLPAC,https://icobench.com/ico/tlpac,4797,Y,Ethereum,ERC20,2018-05-01,2018-06-30,2018-06-01,2018-06-30,0x206b9d049cc521c93e90004bb2a1c24472a22f21,30.0,3255.0
Tokenaire (PreICO),NonERC20,,Tokenaire,https://icobench.com/ico/tokenaire,4799,N,Waves,Waves,2018-10-01,2018-10-31,,,,0.0,0.0
TokenBacon,NonERC20,0x3b5f11dbac1476af17957c6e5991f21c826743dd,TokenBacon,https://icobench.com/ico/tokenbacon,4800,N,Baconchain,Baconchain,2018-07-26,2018-09-27,2018-07-26,2018-08-26,,0.0,0.0
Tokenize Emblem,DistributorsHardtoIdentify,0x667102bd3413bfeaa3dffb48fa8288819e480a88,Tokenize Xchange (TKX),https://icobench.com/ico/tokenize-emblem,4801,Y,Ethereum,ERC20,2018-09-24,2018-09-30,,,,0.0,0.0
TokenLend,OK,0xa8f5b088245fe39316ec2719b15af4ba5dc91835,TokenLend,https://icobench.com/ico/tokenlend,4802,N,Ethereum,ERC20,2018-03-26,2018-05-10,2018-03-26,2018-05-10,0x0000000000000000000000000000000000000000,0.0,0.0
TokenLoyalty,NonERC20,,Token Loyalty,https://icobench.com/ico/tokenloyalty,4803,N,Waves,,2018-01-16,2018-01-30,2018-01-16,2018-01-29,,0.0,0.0
TokenSpeed,NonERC20,,TokenSpeed,https://icobench.com/ico/tokenspeed,4804,Y,Waves,Waves,2018-04-11,2018-05-11,2018-04-11,2018-05-11,,0.0,0.0
Tokpie,DistributorsHardtoIdentify,0xd31695a1d35e489252ce57b129fd4b1b05e6acac,Tokpie,https://icobench.com/ico/tokpie,4805,N,Ethereum,ERC20,2018-05-01,2018-07-05,2018-06-01,2018-07-05,,0.0,0.0
Tombola,OK,0x54257fcaaa8e50ae9a47bf3afe054756fb1230f6,Tombola,https://icobench.com/ico/tombola,4807,Y,Ethereum,ERC20,2018-08-01,2018-08-31,2018-08-01,2018-08-31,0x0000000000000000000000000000000000000000,0.0,0.0
Toplancer,NoTokenTransfer,0x6fb5cdfd4a38d34c92e4873fdfc22dce927edc99,,https://icobench.com/ico/toplancer,4810,N,Ethereum,ERC20,,2018-03-31,,,,0.0,0.0
TouchTrader,NoTokenTransfer,0xabb3148a39fb97af1295c5ee03e713d6ed54fd92,,https://icobench.com/ico/touchtrader,4811,N,Ethereum,ERC20,2018-05-15,2018-06-19,,,,0.0,0.0
traceto.io,transfer after ending,0xe6824483e279d967ea6f8472ace7585862fa1185,Traceto,https://icobench.com/ico/traceto-io,4813,Y,Ethereum,ERC20,2018-06-08,2018-06-29,,,,0.0,0.0
Tracoin,OK,0xb99080b9407436ebb2b8fe56d45ffa47e9bb8877,,https://icobench.com/ico/tracoin,4814,N,Ethereum,ERC20,2018-05-12,2018-07-30,,,0x750d67e1eb76118f57b3d07889567569fdcd8d9b,0.0,0.0
Tradelize (PreICO),transfer after ending,0xa9cb61189803659553b5d025dce93fb43814c917,Tradelize,https://icobench.com/ico/tradelize,4815,N,Ethereum,ERC20,2018-07-15,2018-08-31,,,,0.0,0.0
Trademindx,NoMatch,,Trademindx,https://icobench.com/ico/trademindx,4816,N,Ethereum,ERC20,2018-05-02,2018-06-02,2018-05-02,2018-06-02,,0.0,0.0
TradeOne (PreICO),transfer after ending,0x42588776f50789ae5ce2d9ce0c63f5dfe12f758c,TradeOne,https://icobench.com/ico/tradeone,4817,Y,Ethereum,ERC20,2018-09-15,2018-11-15,,,,0.0,0.0
TradePlayz,NoTokenTransfer,0xa4a004795e4f82b8b1e02ff9f6b96120a6a340ef,TradePlayz,https://icobench.com/ico/tradeplayz,4818,N,Ethereum,ERC20,2018-02-01,2018-04-15,2018-01-31,2018-04-14,,0.0,0.0
Traderstars,OK,0xfca1a79d59bcf870faa685be0d0cda394f52ceb5,Traderstars,https://icobench.com/ico/traderstars,4820,N,Ethereum,ERC20,2017-11-19,2017-12-19,2017-11-20,2017-12-20,0x909b194c56eb3ecf10f1f9faf5fc8e35b2de1f2d,0.0,0.0
Tradingene,NonERC20,,Tradingene,https://icobench.com/ico/tradingene,4821,N,Waves,Waves,2018-05-16,2018-07-01,2018-05-16,2018-06-23,,0.0,0.0
TravelBlock,transfer after ending,0x5e046ccca2b0629f2eef9146cd091a5dcfed0a85,TravelBlock,https://icobench.com/ico/travelblock,4823,Y,Ethereum,ERC20,2018-06-18,2018-07-18,2018-06-18,2018-07-18,,0.0,0.0
Travelkoin,NoMatch,,Travelkoin,https://icobench.com/ico/travelkoin,4825,N,Ethereum,,,2018-04-13,2018-04-09,2018-04-14,,0.0,0.0
Trends Project,NoMatch,,Trends Project,https://icobench.com/ico/trends-project,4828,N,Ethereum,ERC20,2018-08-15,2018-10-03,2018-08-15,2018-10-03,,0.0,0.0
Trevi Token,NoMatch,,Trevi,https://icobench.com/ico/trevi-token,4831,Y,Ethereum,,2018-03-01,2018-05-01,,,,0.0,0.0
Trial Token,NoMatch,,Trial Token,https://icobench.com/ico/trial-token,4832,N,Ethereum,ERC20,,2018-06-12,2018-03-11,2018-04-11,,0.0,0.0
TriForce Tokens,NoMatch,,Triforce Tokens,https://icobench.com/ico/triforce-tokens,4835,N,Ethereum,ERC20,2018-10-08,2018-11-11,,,,0.0,0.0
Triggmine,transfer after ending,0x98f319d4dc58315796ec8f06274fe2d4a5a69721,Triggmine,https://icobench.com/ico/triggmine,4836,Y,Ethereum,ERC20,2018-09-20,2018-10-20,2018-09-20,2018-10-20,,0.0,0.0
TrigID,NoMatch,,TrigID,https://icobench.com/ico/trigid,4837,N,Ethereum,ERC20,2018-10-31,2018-11-30,2018-09-03,2018-10-31,,0.0,0.0
Tripterium T50,transfer after ending,0x064ed8b48483b37c7a52b0167127057c1157ea15,,https://icobench.com/ico/tripterium-t50,4842,Y,Ethereum,ERC20,2018-06-15,2018-08-31,,,,0.0,0.0
Trivver,OK,0x148aa58de3a050a625869b9cf0d0436dedc8cdf7,Trivver,https://icobench.com/ico/trivver,4843,N,Ethereum,ERC20,2018-06-15,2018-09-28,2018-06-15,2018-09-28,0x0000000000000000000000000000000000000000,0.0,0.0
Triwer,transfer after ending,0xbaf2be40ec3ad1edd3c38a59710b67a61cbdef3e,Triwer,https://icobench.com/ico/triwer,4844,N,Ethereum,ERC20,2018-06-01,2018-07-31,2018-06-01,2018-06-30,,0.0,0.0
True News,NoMatch,,,https://icobench.com/ico/true-news,4845,N,Ethereum,ERC223,2018-06-16,2018-07-13,,,,0.0,0.0
True Reply,OK,0x0f335195823384827aa2112c59aaf7ee1f35504d,True Reply (TrueCoin),https://icobench.com/ico/true-reply,4846,N,Ethereum,ERC20,2018-03-01,2018-04-01,2018-03-01,2018-04-15,0xe908f167e74b4612c73e238d71b4760f902a5b90,5.0,0.0
Truegame,transfer after ending,0xf8e06e4e4a80287fdca5b02dccecaa9d0954840f,Truegame,https://icobench.com/ico/truegame,4847,Y,Ethereum,ERC20,2018-04-16,2018-04-30,2018-04-16,2018-04-30,,0.0,0.0
Trufield,OK,0xc71fea858b3e539f3a61269959025b70505a318c,Trufield,https://icobench.com/ico/trufield,4849,N,Ethereum,ERC20,2018-07-03,2018-07-31,2018-07-31,2018-09-25,0x0000000000000000000000000000000000000000,0.0,0.0
TrustBar,NonERC20,,TrustBar,https://icobench.com/ico/trustbar,4851,N,NEO,NEO,2018-08-31,2018-09-30,2018-10-01,2018-10-31,,0.0,0.0
TrustedCars Flex (PreICO),transfer after ending,0x9b4f37adaeee05fbb26d66d530207bee4ac130b3,TrustedCars,https://icobench.com/ico/trustedcars-flex,4852,Y,Ethereum,ERC20,,,,,,0.0,0.0
TrustedHealth,transfer after ending,0x2a1dbabe65c595b0022e75208c34014139d5d357,TrustedHealth,https://icobench.com/ico/trustedhealth,4853,Y,Ethereum,ERC20,2018-03-07,2018-05-01,2018-03-27,2018-04-27,,0.0,0.0
Trustier,NoMatch,,,https://icobench.com/ico/trustier,4854,N,Ethereum,ERC20,,,,,,0.0,0.0
TrustLogics (PreICO),NoMatch,,TrustLogics,https://icobench.com/ico/trustlogics,4855,N,Ethereum,ERC20,,,,,,0.0,0.0
TrustVerse,DistributorsHardtoIdentify,0xf973dfe8010cfd44070b1990841da192c7b3ced9,TrustVerse,https://icobench.com/ico/trustverse,4856,N,Ethereum,ERC20,2018-10-27,2018-11-15,2018-07-26,2018-08-31,,0.0,0.0
TTC PROTOCOL,transfer after ending,0x9389434852b94bbad4c8afed5b7bdbc5ff0c2275,TTC Protocol,https://icobench.com/ico/ttc-protocol,4857,Y,,ERC20,2018-04-18,2018-05-18,2018-04-18,2018-05-18,,0.0,0.0
TTCoin,NonERC20,,TONGTONGCOIN (TTCoin),https://icobench.com/ico/ttcoin,4858,N,TTchain,ERC20,,,,,,0.0,0.0
Tubig Blockchain,transfer after ending,0x43efc486d1c7c5cb0193e409a73aa33786f5197c,Tubig,https://icobench.com/ico/tubig-blockchain,4859,N,Ethereum,ERC20,2018-02-14,2018-02-28,,,,0.0,0.0
Tuk Tuk Pass,NoMatch,,Tuk Tuk Pass (TTP-A),https://icobench.com/ico/tuk-tuk-pass,4860,N,Ethereum,ERC20,2018-03-05,2018-06-30,2018-04-16,2019-09-30,,0.0,0.0
TurboTradeCoin,NonERC20,,,https://icobench.com/ico/turbotradecoin,4861,N,Scrypt,PoW/PoS Hybrid Blockchain,2018-02-09,2018-02-12,,,,0.0,0.0
Tutellus,NonERC20,0xa085736b30f73c43a259d222709865cb3fdfc1c7,Tutellus,https://icobench.com/ico/tutellus,4862,Y,NEM,ERC20,2018-05-28,2018-06-30,2018-06-18,2018-06-30,,0.0,0.0
TV-TWO,OK,0xa838be6e4b760e6061d4732d6b9f11bf578f9a76,TV-TWO,https://icobench.com/ico/tv-two,4864,Y,Ethereum,ERC20,2018-05-24,2018-07-24,2018-05-24,2018-07-24,0x997577a9c9f9a96d7cc344b339c386b4e9b12aff,0.0,0.0
TwixaCoin,NoTokenTransfer,0xa2f45eb983e4192e600ba5cedb3dcf4c27aff558,,https://icobench.com/ico/twixacoin,4865,N,Ethereum,ERC20,2018-03-29,2018-04-20,,,,0.0,0.0
TycoonCoin,ICODateSeemsWrong,0xd04a63eea250ce2b330d4ed46338d7cfa6999040,,https://icobench.com/ico/tycooncoin,4866,N,Ethereum,ERC20,2018-08-09,2018-09-09,,,,0.0,0.0
Typerium,transfer after ending,0xeaf61fc150cd5c3bea75744e830d916e60ea5a9f,Typerium,https://icobench.com/ico/typerium,4867,N,Ethereum,ERC20,2018-05-21,2018-06-25,2018-06-26,2018-07-23,,0.0,0.0
Ubcoin Market,OK,0x2d3e7d4870a51b918919e7b851fe19983e4c38d5,Ubcoin,https://icobench.com/ico/ubcoin-market,4870,Y,Ethereum,ERC20,2018-04-02,2018-08-27,,,"0xdb58279c60c7641dabb015665db32372d031e55f,0x8dd9034f7ccc805bdc4d593a01f6a2e2eb94a67a",0.0,0.0
Ubex,DistributorsHardtoIdentify,0x6704b673c70de9bf74c8fba4b4bd748f0e2190e1,Ubex,https://icobench.com/ico/ubex,4871,Y,Ethereum,ERC20,2018-05-21,2018-09-30,2018-05-21,2018-09-30,,0.0,0.0
ubiatarplay.io,OK,0x4297a285db467eB779FCc45F69A169bd8dCCd0e9,UbiatarPlay,https://icobench.com/ico/ubiatarplay-io,4872,Y,Ethereum,ERC20,2018-05-07,2018-06-08,,,0x0000000000000000000000000000000000000000,0.0,0.0
UCMG,NoMatch,,United Crypto Mining Group,https://icobench.com/ico/ucmg,4874,N,Ethereum,ERC20,2018-04-02,2018-04-15,,,,0.0,0.0
UHUB,DistributorsHardtoIdentify,0x19aea60e2fd6ac54ecf2576292c8fc7046429c37,,https://icobench.com/ico/uhub,4876,N,Ethereum,ERC20,2017-11-16,2017-11-25,,,,0.0,0.0
uKit,transfer after ending,0x6381947999a27896e4125ffba9160646dbe4accb,uKit AI,https://icobench.com/ico/ukit,4877,Y,Ethereum,ERC20,2018-02-19,2018-05-01,,,,0.0,0.0
Umewin,NoMatch,,Umewin,https://icobench.com/ico/umewin,4879,N,Ethereum,ERC20,2018-07-01,2018-08-30,,,,0.0,0.0
Unchainet,NoMatch,,Unchainet,https://icobench.com/ico/unet,4883,N,Ethereum,ERC20,,,,,,0.0,0.0
Unibright,OK,0x8400d94a5cb0fa0d041a3788e395285d61c9ee5e,Unibright,https://icobench.com/ico/unibright,4884,Y,Ethereum,ERC20,2018-04-20,2018-05-02,2018-04-10,2018-05-10,0xb7bb79bafc8bb11ce91376ab6c1bc93606934c0b,0.0,0.0
UNIC Advertising Network,NoMatch,,UNIC Advertising Network,https://icobench.com/ico/unic-advertising-network,4885,N,Ethereum,ERC20,2018-02-08,2018-04-26,,,,0.0,0.0
Union,NoTokenTransfer,0xbb63fcc6c9193f243a23d25570732f3778284a66,Union,https://icobench.com/ico/union,4887,N,Ethereum,ERC223,2018-05-01,2018-07-31,2018-05-01,2018-07-31,,0.0,0.0
