ICO_Name_ib,Status(donghwa),Etherscan Address,ICO_Name_rt,ico_address,no_tl,Success (Y/N),Platform_ib,Type_ib,ICO start_ib,ICO end_ib,ICO_start_rt,ICO_end_rt,DistributorAddress,Single Layer,Double Layer
Arcona,OK,0x0f71b8de197a1c84d31de0f1fa7926c365f052b3,Arcona,https://icobench.com/ico/arcona,3121,Y,Ethereum,ERC20,2018-04-14,2018-07-14,2018-04-15,2018-07-14,0x0000000000000000000000000000000000000000,0.0,0.0
Arevalor,NoTokenTransfer,0xb9097c157ceacbecb3c7a78a507d7c40e256a6fa,Arevalor (ORB),https://icobench.com/ico/arevalor,3123,N,Ethereum,ERC20,2018-09-24,2018-10-15,2018-09-24,2018-10-15,,0.0,0.0
ARGO Reality,NoTokenTransfer,0xbde425cb0f65d048e0a3eaffd3a598e80eac4ce9,ARGO Reality,https://icobench.com/ico/argo-reality,3124,N,Ethereum,ERC20,,2018-04-01,,,,0.0,0.0
Arizn,NoTokenTransfer,0xb89cae06c883c48245795d70f19c91cfb1e46d23,Arizn,https://icobench.com/ico/arizn,3126,N,Ethereum,ECR20,2018-07-26,2018-09-26,2018-07-27,2018-09-26,,0.0,0.0
ArmPack,NoMatch,,Armpack,https://icobench.com/ico/armpack,3128,Y,Ethereum,ERC20,2018-01-31,2018-04-30,2017-12-31,2018-04-01,,0.0,0.0
ARQUTE G.A.S.,OK,0xa7a1f840cf741b96f5a80d5856ae02f0f474251f,ARQUTE G.A.S,https://icobench.com/ico/arqute-g-a-s,3129,N,Ethereum,ERC20,2018-03-19,2018-06-01,,,0x116676d386404238f54589ccdbbce1638aa8cb0d,0.0,0.0
ARROUND,transfer after ending,0xcb089b8ae76b5df461d40e957603f7a59aea9e0d,Arround,https://icobench.com/ico/arround,3130,Y,Ethereum,ERC20,2018-09-15,2018-11-15,2018-09-15,2018-11-15,,0.0,0.0
ArtChain Global,DistributorsHardtoIdentify,0x984c134a8809571993fd1573fb99f06dc61e216f,ArtChain Global (AGG),https://icobench.com/ico/artchain-global,3131,Y,Ethereum,ERC20,2018-06-21,2018-06-23,,,,0.0,0.0
ArtWook,OK,0x1ca43a170bad619322e6f54d46b57e504db663aa,ArtWook,https://icobench.com/ico/artwook,3134,N,Ethereum,ERC20,2018-07-20,2018-08-17,,,0xb81f26d105bf46c0d956bebdd0cc89d34aa94053,0.0,0.0
ASOBI,DistributorsHardtoIdentify,0x49ceb57714000f18f3749cf2d130e135f9c473a4,,https://icobench.com/ico/asobi,3136,Y,Ethereum,ERC20,2018-07-04,2019-01-30,,,,0.0,0.0
Assetereum,NoMatch,0x41dab199a4aa0e14434473f689aecfcb1c8e520c,Assetereum,https://icobench.com/ico/assetereum,3139,Y,Ethereum,ERC20,,2018-05-11,,,,0.0,0.0
AstorGame,OK,0x63c94b6221b4021b564f4563ec72688655b2604a,AstorGame,https://icobench.com/ico/astorgame,3141,Y,Ethereum,ERC20,2018-01-24,2018-04-29,2018-01-28,2018-04-28,0x16b364f5ef7c81479754a8958fcf2756ef0d4652,0.0,0.0
Astoria (PreICO),NoMatch,,Astoria,https://icobench.com/ico/astoria,3142,N,Ethereum,ERC20,2018-09-14,2018-10-14,,,,0.0,0.0
Augmate,NoMatch,,Augmate,https://icobench.com/ico/augmate,3148,N,Ethereum,ERC20,2018-01-01,2018-06-30,2017-12-15,2018-06-15,,0.0,0.0
Aurora,transfer after ending,0xcc13fc627effd6e35d2d2706ea3c4d7396c610ea,Aurora,https://icobench.com/ico/aurora,3150,Y,Ethereum,ERC20,2017-12-11,2018-01-11,2017-12-03,2018-01-03,,0.0,0.0
AvaGo,OK,0x27b692ed53be1a5f286e1a78ac6a7afe00b1722f,AvaGo,https://icobench.com/ico/avago,3155,N,Ethereum,ERC20,,2018-09-26,2018-07-26,2018-09-26,0x8d7b3a122b8379fad019ed35e3899951148d9027,1.0,188.0
AvantGarde Ratings,transfer after ending,0xaec2ec0f4dc32d4658bb23d13ab2069edc7c423b,AvantGarde Ratings,https://icobench.com/ico/avantgarde-ratings,3156,Y,Ethereum,ERC20,2018-04-09,2018-04-30,2018-04-16,2018-04-30,,0.0,0.0
Avatar Network,transfer after ending,0x758d26cb421d1fefad0f85698718bc7b0a31eb6a,Avatar Network,https://icobench.com/ico/avatar-network,3157,N,Ethereum,ERC20,2018-08-05,2018-09-05,2018-08-05,2018-09-05,,0.0,0.0
AVINOC,DistributorsHardtoIdentify,0xf1ca9cb74685755965c7458528a36934df52a3ef,Avinoc,https://icobench.com/ico/avinoc,3158,N,Ethereum,ERC20,2018-07-15,2018-07-31,2018-07-15,2018-07-30,,0.0,0.0
Aworker,transfer after ending,0xa686514faf7d54289266f483d1e4852c99e13ec7,Aworker,https://icobench.com/ico/aworker,3160,Y,Ethereum,ERC20,,,2018-01-25,2018-06-25,,0.0,0.0
AX1,OK,0xcd4b4b0f3284a33ac49c67961ec6e111708318cf,AX1 (AX1),https://icobench.com/ico/ax1,3161,Y,Ethereum,ERC20,2018-04-16,2018-06-11,,,0x0000000000000000000000000000000000000000,0.0,0.0
AXenS,NonERC20,,AXenS,https://icobench.com/ico/axens,3162,Y,Stellar,Stellar,2018-05-21,2018-09-30,,,,0.0,0.0
AXNET,transfer after ending,0x304281f3d1023a2039ea930c65f8f721d7c746c8,AXNET,https://icobench.com/ico/axnet,3163,N,Ethereum,ERC20,2018-08-01,2018-09-01,2018-08-01,2018-09-01,,0.0,0.0
Axtrust,OK,0x09198e39d92a76a01e41c768a4b112d50ba32eb8,AxTrust,https://icobench.com/ico/axtrust,3165,N,Ethereum,ERC20,2018-03-31,2018-04-30,2018-03-31,2018-04-30,0x0000000000000000000000000000000000000000,0.0,0.0
B2AND,transfer after ending,0x2668afe75c5b0b726c2b4388658edae365eda4e2,B2AND (B2C),https://icobench.com/ico/b2and,3167,N,Ethereum,ERC20,,2018-05-22,2018-04-23,2018-05-22,,0.0,0.0
Baanx.com,OnlyPreICO,0x53562419e435cbae65d73e7eae2723a43e6cd887,Baanx,https://icobench.com/ico/baanx-com,3168,Y,Ethereum,ERC20,2018-09-01,2018-10-31,,,,0.0,0.0
BaapPay,OK,0x5f7d95329e806befa024982e91b7127393737249,BaapPay,https://icobench.com/ico/baappay-1,3169,N,Ethereum,ERC20,2018-08-08,2018-08-17,2018-03-27,2018-04-30,0xab9ecfdbb0abc5da29f166e3d4429b8c0de493ce,0.0,0.0
BACE Exchange,OK,0xc77f702e94905da768658d135d1d445cb24e6d9a,BACE,https://icobench.com/ico/bace-exchange,3170,N,Ethereum,ERC20,2018-04-23,2018-05-07,,,0x7d7caeb5badbda7bb803fd2ad3b60396f60e897d,0.0,0.0
Backpack Travel,OK,0x01db18f6a474840db3480a6a35227d4d0dfcca37,Backpack Travel,https://icobench.com/ico/backpack-travel,3171,N,Ethereum,ERC20,2018-09-10,2018-09-20,2018-09-10,2018-09-20,0x65fb0727416e6fe45299487c0bf7b33fd5895b59,0.0,0.0
Bailsman,NonERC20,,Bailsman,https://icobench.com/ico/bailsman,3173,N,Ethereum,EIP20,2018-09-01,2018-10-26,2018-09-01,2018-10-26,,0.0,0.0
Balehu Bucks,NoMatch,,BalehuBucks,https://icobench.com/ico/balehu-bucks,3174,N,Ethereum,ERC20,2018-02-01,2018-03-31,,,,0.0,0.0
BaltiCrypto,NoMatch,,BaltiCrypto,https://icobench.com/ico/balticrypto,3175,N,Ethereum,ERC20,2018-05-14,2018-07-01,2018-06-04,2018-07-31,,0.0,0.0
Bank4You,transfer after ending,0xfc41a15650f2a3b052d7a3b8f758665ed37d56ba,Bank4YOU Group,https://icobench.com/ico/bank4you,3179,Y,Ethereum,ERC20,2017-11-06,2018-03-31,,,,0.0,0.0
BARTVault,NoMatch,,BARTVault,https://icobench.com/ico/bartvault,3180,N,Ethereum,ERC20,2018-05-15,2018-06-30,,,,0.0,0.0
BASIS NEURO,OK,0xf58a6e83c11487d5c702eec6e401cab463c2cd20,Basis Neuro,https://icobench.com/ico/basis-neuro,3181,Y,Ethereum,ERC20,2018-06-15,2018-07-15,2018-04-15,2018-05-15,0xfb7bdc6358d88ac73d302193120bd7843f9cfd04,0.0,0.0
BCG,transfer after ending,,BCG,https://icobench.com/ico/bcg,3183,N,Ethereum,ERC20,2018-05-15,2018-05-20,2018-05-15,2018-06-15,,0.0,0.0
BCharity - International Charity Exchange,NoTokenTransfer,0x6753f465c10534cc2f2905ab3ad2468d43357d82,Bcharity,https://icobench.com/ico/bcharity-international-charity-exchange,3184,N,Ethereum,ERC20,2018-06-01,2018-06-30,,,,0.0,0.0
Bdaq (PreICO),NoTokenTransfer,0x0684c3c5f37573237cdf405c0d691d719a4e4bdc,,https://icobench.com/ico/bdaq,3185,N,Ethereum,ERC20,2018-10-01,2018-10-31,,,,0.0,0.0
BDCC,transfer after ending,0xc87f95aa269dd300d9f1ce49d8e1fd8119a10456,BDCC,https://icobench.com/ico/bdcc,3186,N,Ethereum,ERC20,2017-12-01,2017-12-31,2017-11-30,2017-12-30,,0.0,0.0
BeANKH,NoTokenTransfer,0x471407f224b99bb3347de2609bc117dad367f889,AnkhLabs (BeANKH),https://icobench.com/ico/beankh,3187,N,Ethereum,ERC20,2018-06-15,2018-10-14,,,,0.0,0.0
Beat,ICODateSeemsWrong,0x2fb12bccf6f5dd338b76be784a93ade072425690,Beat,https://icobench.com/ico/beat-1,3188,Y,Ethereum,ERC20,2018-01-23,2018-07-15,2018-02-19,2018-07-15,,0.0,0.0
BEATRIX (PreICO),NoMatch,,BEATRIX,https://icobench.com/ico/beatrix,3189,N,Ethereum,ERC20,2018-10-18,2018-11-18,,,,0.0,0.0
BeautiQ,NonERC20,,BeautiQ,https://icobench.com/ico/beautiq,3190,N,Waves,,2018-02-20,2018-04-21,2018-02-19,2018-03-19,,0.0,0.0
Beaxy Exchange,NoTokenTransfer,,,https://icobench.com/ico/beaxy-exchange,3191,N,Ethereum,ERC20,,2018-09-30,,,,0.0,0.0
BeEasy,transfer after ending,0x31523372962309845680b5e76da13d1208352a41,BeEasy,https://icobench.com/ico/beeasy,3192,Y,Ethereum,ERC20,2018-02-01,2018-06-30,2018-02-01,2018-04-30,,0.0,0.0
BeefCoin,OK,0x04bf44a0159f900328173edc39eb472ec1c2faa9,BeefCoin,https://icobench.com/ico/beefcoin,3193,N,Ethereum,,2018-01-01,2018-03-31,2017-12-31,2018-03-30,0x359a0a48a9cd57442852a9f23ecfbd40d63f6163,0.0,0.0
BeeMedics,NonERC20,,,https://icobench.com/ico/beemedics,3194,N,Waves,Waves,,2018-07-31,,,,0.0,0.0
Beercoin,DistributorsHardtoIdentify,0x7367a68039d4704f30bfbf6d948020c3b07dfc59,Beercoin,https://icobench.com/ico/beercoin,3196,N,Ethereum,ERC20,2018-05-18,2018-06-30,2018-05-18,2018-06-30,,0.0,0.0
