STARTUP NAME,Status,DistributorAddress,DistributorAddress2,Single Layer,Double Layer
BeautiQ,NonERC20,,,0.0,0.0
Beaxy Exchange,NoTokenTransfer,,,0.0,0.0
BeeMedics,NonERC20,,,0.0,0.0
BeefCoin,OK,0x359a0a48a9cd57442852a9f23ecfbd40d63f6163,,0.0,0.0
Beercoin,DistributorsHardtoIdentify,,,0.0,0.0
Befund,DistributorsHardtoIdentify,,,0.0,0.0
Belotto,OK,0x1d54064456965c1da3b95241aafe9218f22f48d8,,0.0,0.0
Benepit,DistributorsHardtoIdentify,,,0.0,0.0
BergmannOS,OK,0x9dafa0dc324f25de967815540652098dee09163c,,0.0,0.0
Berith,DistributorsHardtoIdentify,,,0.0,0.0
BestMeta,NoTokenTransfer,,,0.0,0.0
Bet On Chart (PreICO),OnlyPreICO,,,0.0,0.0
Betevent,NoTokenTransfer,,,0.0,0.0
Betley,NoTokenTransfer,,,0.0,0.0
Betmatch,,,,0.0,0.0
Betrium,AlreadyinPreviousFile,,,0.0,0.0
Beverage.cash,NoMatch,,,0.0,0.0
Bidium,transfer after ending,,,0.0,0.0
Bidooh,DistributorsHardtoIdentify,,,0.0,0.0
Big Data Coin,NoTokenTransfer,,,0.0,0.0
Bigbom Eco,OK,0x8dfe835184c0a53889fa298fd97dca99244d39bc,,0.0,0.0
Bigtangle,,,,0.0,0.0
Bilibit,OK,0x5499828ad187f43f678b69b0b6ce3f6be53af41c,,1.0,0.0
Billion,OK,0x0000000000000000000000000000000000000000,,0.0,0.0
Binocoin,NoTokenTransfer,,,0.0,0.0
Biohal,,,,0.0,0.0
Bionic,ICODateSeemsWrong,,,0.0,0.0
Bioritmai,AlreadyinPreviousFile,,,0.0,0.0
Biotor Biomass,NoTokenTransfer,,,0.0,0.0
Biotron.io,transfer after ending,,,0.0,0.0
Birake,NoMatch,,,0.0,0.0
Birdchain,OK,0x0000000000000000000000000000000000000000,,0.0,0.0
Bit-learn,NoMatch,,,0.0,0.0
BitCAD,transfer after ending,,,0.0,0.0
BitCQR,OK,0x171bea300b57cc724c2a2f35f2c1bdde1ddd4fb5,,0.0,0.0
BitCanna,,,,0.0,0.0
BitCar,transfer after ending,,,0.0,0.0
BitChord,NoTokenTransfer,,,0.0,0.0
BitCoin Ichip,DistributorsHardtoIdentify,,,0.0,0.0
BitDouble,NonERC20,,,0.0,0.0
BitEsprit,NoTokenTransfer,,,0.0,0.0
BitFence,OK,0x0000000000000000000000000000000000000000,,0.0,0.0
BitForex,NonERC20,,,0.0,0.0
BitGuild,OK,0x4118d7f757ad5893b8fa2f95e067994e1f531371,,0.0,0.0
BitImage,NoTokenTransfer,,,0.0,0.0
BitMED,NoTokenTransfer,,,0.0,0.0
BitMinutes,transfer after ending,,,0.0,0.0
BitNautic,transfer after ending,,,0.0,0.0
BitRewards,transfer after ending,,,0.0,0.0
BitScreener,transfer after ending,,,0.0,0.0
BitSoft Bay,NoTokenTransfer,,,0.0,0.0
BitSong,NoTokenTransfer,,,0.0,0.0
Bitair,OK,0x75cd8db9bc7dada2649325ab38af12409bfe4e7c,,47.0,0.0
Bitbose,transfer after ending,,,0.0,0.0
BitcoinBing,OK,0x36a01b0586445169a51b9481ba2952f64445f71c,,0.0,0.0
BitcoinCorner,,,,0.0,0.0
BitcoinMax,,0x9332f3dbc7d7d10c85d1be872c03becfaa318d38,,0.0,0.0
Bitdepositary (PreICO),OK,"0xc1ac898c9cce4288616bad3344f5be3dda5bd790,0x58a6990f93aeb96dbc2a52a535c867c3654bcae5,0x9ac99753fe7f2e5064aec672cfecfa2d339dc542",,0.0,0.0
Bitdollar Fund,NoTokenTransfer,,,0.0,0.0
BiteCoin Network,NoTokenTransfer,,,0.0,0.0
BiteX,transfer after ending,,,0.0,0.0
Bitfair,NoTokenTransfer,,,0.0,0.0
Bitheum,NonERC20,,,0.0,0.0
Bitlumens (PreICO),NoTokenTransfer,,,0.0,0.0
Bitmillex,transfer after ending,,,0.0,0.0
Bitnation,transfer after ending,,,0.0,0.0
Bitone Network,,,,0.0,0.0
Bitron,OK,0x008f8b5749963946c205b29c01ea4db168e9b47c,,0.0,0.0
Bitsmo,NonERC20,,,0.0,0.0
Bitsoko,DistributorsHardtoIdentify,,,0.0,0.0
Bitsync,NoMatch,,,0.0,0.0
Bitto Exchange,transfer after ending,,,0.0,0.0
Bittrace,NoMatch,,,0.0,0.0
Bittwatt,transfer after ending,,,0.0,0.0
Bitway,DistributorsHardtoIdentify,,,0.0,0.0
Bitxoxo,transfer after ending,,,0.0,0.0
Bityond,OK,0x0000000000000000000000000000000000000000,,0.0,0.0
Bizkey,ICODateSeemsWrong,,,0.0,0.0
Black Insurance,NoMatch,,,0.0,0.0
Blackfol.io,AlreadyinPreviousFile,,,0.0,0.0
BlocVehicle,NoTokenTransfer,,,0.0,0.0
Blocform,OK,0x7861a12a4c225d7de5367ec90fdaa24cea2c91d8,,0.0,0.0
Block Broker,NoTokenTransfer,,,0.0,0.0
Block Web,NoMatch,,,0.0,0.0
Block-Chain.com,transfer after ending,,,0.0,0.0
BlockAIp,NoMatch,,,0.0,0.0
BlockAV,NoTokenTransfer,,,0.0,0.0
